Paranaiba,Rio Grande ,Tieté ,Parapanema,Iguaçu,Paranà@Itati,Pilcomayo,Bermejo,Salado,Gualeguaychu,Paranà@Puente Brazo Largo
275.1,506.6,263.3,509.9,119.5,245.2,132.2,128.6,80.2,253.7,172.8
521.3,512.8,272.7,516.1,125.6,250.3,281.1,130.8,260.4,258.9,482.0
547.1,530.4,296.3,517.3,227.4,270.8,343.3,267.3,263.4,451.5,483.1
558.1,547.3,381.3,554.6,232.9,333.9,412.4,445.3,271.1,482.8,485.8
569.6,553.2,436.2,581.6,244.4,366.4,457.8,451.9,326.1,488.8,486.8
629.8,554.5,447.6,646.8,311.1,478.0,494.7,457.3,328.0,503.5,490.1
636.9,583.0,466.8,721.1,312.7,482.3,498.1,459.5,419.8,507.3,500.2
653.7,585.9,475.2,903.6,421.7,488.0,499.6,460.8,456.9,516.0,500.2
660.6,591.8,492.2,969.0,443.4,498.1,500.3,465.8,457.6,517.4,509.2
684.7,592.0,493.7,1023.2,446.0,499.7,503.4,468.2,459.3,523.3,518.1
786.0,592.7,496.1,1445.2,467.9,503.0,505.1,472.0,473.5,525.1,519.1
811.0,596.4,496.2,1735.1,467.9,515.2,511.5,476.2,480.3,525.7,523.8
859.2,596.7,505.5,1808.3,468.4,518.6,513.7,485.7,480.9,526.4,533.3
1203.2,597.6,510.1,1847.2,470.1,519.3,516.5,494.6,481.7,527.3,533.8
1408.1,600.5,512.2,1937.0,474.6,521.1,517.1,509.2,485.7,527.4,542.8
1675.4,600.8,515.2,2683.8,475.0,532.1,517.6,511.1,487.9,529.5,545.6
2075.2,603.4,521.5,2876.5,477.7,538.4,519.2,511.5,490.3,529.7,549.3
2116.1,604.1,526.0,567.4,478.6,539.0,520.8,513.2,501.1,530.4,557.1
2122.1,604.8,526.4,577.5,478.9,541.4,522.8,523.3,508.1,532.0,557.3
2975.4,606.5,527.0,601.5,480.0,546.2,538.0,524.1,508.8,533.7,560.1
518.1,607.9,536.5,643.0,487.4,546.9,540.8,574.1,517.1,533.8,560.3
564.1,607.9,540.3,658.3,491.9,577.6,545.3,583.4,522.8,536.4,568.0
602.7,608.0,542.1,684.2,492.5,579.2,559.9,585.3,525.7,536.7,571.9
639.9,610.5,542.7,691.4,493.3,580.5,580.5,589.1,529.4,536.7,573.9
648.3,610.8,548.3,808.1,495.0,582.2,586.3,594.0,538.8,536.9,575.2
659.1,611.3,551.1,856.0,505.9,582.8,592.5,602.2,545.5,540.1,577.3
669.3,611.6,554.5,1043.0,505.9,589.3,593.1,608.3,546.4,546.2,578.8
669.9,612.5,557.5,1063.8,508.2,590.6,605.1,611.3,550.9,547.7,579.0
737.4,613.0,558.4,1483.6,510.7,602.4,607.7,612.3,553.4,550.4,585.9
739.4,614.3,561.3,1503.4,514.5,614.1,607.9,621.8,563.3,550.9,585.9
778.1,615.8,562.7,1823.3,517.5,615.9,613.8,641.1,565.0,551.0,586.1
971.0,616.1,563.5,1860.5,521.1,617.1,615.0,649.3,572.1,552.0,593.5
991.3,623.1,564.2,1932.3,523.4,620.2,615.4,656.9,579.4,554.6,593.9
998.5,623.7,564.6,1973.1,526.2,621.1,630.5,663.7,598.1,555.3,594.6
1043.0,624.0,564.6,2065.0,526.7,621.5,653.8,667.6,608.5,560.8,594.7
1044.4,625.3,566.4,2122.1,531.0,622.7,664.2,680.0,609.2,560.9,600.7
1050.3,626.1,566.6,2139.0,531.5,625.3,666.1,690.4,612.4,564.9,601.9
1051.9,627.1,566.6,2665.1,538.1,627.0,719.5,719.3,625.5,565.1,603.2
1063.8,629.0,566.7,2767.0,540.0,630.5,744.4,727.7,629.6,566.9,605.1
1064.7,629.5,571.5,,543.3,630.9,807.6,768.7,630.1,567.4,605.8
1124.9,631.6,577.7,,546.2,633.7,822.3,774.8,630.2,568.8,608.3
1133.7,634.2,578.1,,548.4,633.8,863.9,929.8,630.8,570.1,608.5
1385.8,635.4,585.5,,553.4,634.9,917.1,943.9,632.1,571.2,609.1
1446.1,636.0,586.2,,554.9,637.7,923.3,959.3,632.9,571.2,612.9
1545.3,637.6,586.8,,555.3,638.4,958.9,994.5,634.3,576.8,613.5
1795.2,637.9,589.6,,557.7,640.4,981.9,1041.9,638.8,577.1,613.6
1931.7,639.4,590.4,,558.6,642.0,991.1,1090.3,645.0,581.0,614.7
1949.5,641.9,597.7,,558.7,643.7,996.2,1157.9,677.3,583.3,614.9
2012.5,643.1,599.1,,560.3,643.9,1010.3,1168.2,696.8,583.6,615.7
2163.7,643.7,605.3,,566.2,645.0,1016.0,1183.2,759.2,586.4,616.1
510.8,644.0,605.7,,567.3,646.6,1017.0,1444.7,771.6,590.4,617.8
514.5,644.3,606.7,,573.7,648.0,1017.3,1640.4,780.1,590.5,619.0
539.5,644.9,609.3,,576.0,648.8,1027.3,1757.4,807.5,590.7,620.0
556.9,646.5,614.4,,589.8,650.7,1031.6,1897.8,849.0,593.7,620.3
576.2,647.5,615.5,,592.1,651.0,1033.6,1939.2,865.8,596.0,622.1
590.8,655.6,619.7,,594.0,652.9,1048.5,1943.4,875.6,596.8,622.3
610.6,665.6,623.6,,595.8,664.1,1125.8,2085.7,893.4,600.2,625.8
616.4,666.6,623.9,,612.1,668.9,1144.7,2102.1,923.5,601.1,626.6
625.7,674.7,625.6,,615.4,683.5,1195.1,2162.8,928.1,601.9,627.0
628.3,678.6,628.9,,637.1,684.2,1302.8,2623.0,944.4,606.5,627.8
633.4,707.4,633.3,,668.7,712.0,1373.5,2632.7,978.3,611.0,629.4
638.1,764.0,641.8,,694.0,713.8,1665.9,2677.4,985.2,611.6,630.5
656.6,779.7,649.9,,696.0,714.7,1675.9,2856.3,992.8,613.9,632.8
657.2,807.2,660.2,,720.5,749.4,1676.7,,993.5,616.7,634.1
659.2,1000.9,714.7,,722.0,766.9,1730.4,,998.0,617.9,634.9
661.3,1000.9,797.4,,760.5,771.6,1754.6,,1019.0,622.5,634.9
663.5,1015.2,797.9,,834.6,779.4,1873.4,,1023.4,623.1,635.0
668.6,1073.6,902.4,,858.6,800.9,2041.5,,1027.1,625.7,637.3
673.5,1191.9,959.4,,907.4,814.6,2065.0,,1037.1,626.0,640.1
673.8,1287.1,984.5,,909.8,814.6,2085.9,,1040.0,629.0,640.9
735.3,1367.6,1002.0,,912.7,817.2,2094.8,,1044.1,629.4,641.9
761.7,1546.3,1007.2,,914.3,838.4,,,1049.0,629.9,645.9
775.9,1601.1,1009.6,,930.3,839.5,,,1051.9,631.4,648.4
909.8,1629.2,1010.3,,935.5,843.0,,,1146.9,631.4,651.0
980.9,1706.5,1013.5,,941.8,873.2,,,1192.0,633.3,652.2
1247.3,1866.1,1021.7,,949.2,979.3,,,1247.1,634.2,652.9
1545.3,1916.5,1028.1,,956.3,991.5,,,1705.1,637.5,653.5
1600.9,1938.9,1036.7,,967.4,1009.3,,,1710.0,639.1,654.3
2078.6,1949.5,1042.8,,967.9,1012.1,,,1754.3,643.3,667.3
2140.0,1974.4,1068.9,,978.2,1040.3,,,1786.3,659.6,673.0
2773.1,1975.0,1104.9,,978.7,1061.5,,,1927.1,661.3,678.4
2923.8,1983.7,1172.8,,992.0,1067.1,,,1986.7,667.3,744.3
,2000.6,1276.4,,1007.0,1067.1,,,2039.5,669.8,758.5
,2013.9,1283.5,,1032.6,1084.3,,,2121.1,690.3,761.1
,2016.5,1462.1,,1117.7,1096.0,,,2125.5,738.5,761.3
,2039.4,1531.3,,1126.6,1107.5,,,2134.0,755.5,786.4
,2048.0,1543.7,,1650.0,1112.3,,,2602.5,770.0,804.3
,2056.7,1576.0,,1690.4,1152.0,,,2682.4,774.5,827.3
,2057.7,1592.4,,1778.4,1225.2,,,2711.2,778.5,850.3
,2063.2,1629.4,,1811.4,1298.1,,,,796.4,870.8
,2069.1,1639.5,,1857.2,1415.5,,,,817.4,887.3
,2074.9,1651.1,,1885.6,1448.7,,,,831.7,903.9
,2080.6,1656.5,,1923.8,1457.1,,,,855.2,913.9
,2090.8,1693.7,,1944.0,1457.6,,,,909.9,954.5
,2092.2,1703.3,,1947.9,1686.0,,,,911.2,971.4
,2169.6,1709.7,,1955.3,1692.6,,,,912.0,978.4
,2193.7,1714.1,,1958.9,1721.6,,,,941.7,987.9
,2206.8,1717.9,,1976.1,1731.3,,,,947.7,1013.7
,2216.4,1735.0,,1995.2,1749.8,,,,984.0,1014.4
,2250.8,1745.0,,2034.8,1770.9,,,,994.8,1042.3
,2253.4,1747.5,,2064.4,1796.4,,,,1003.7,1200.7
,2354.3,1779.4,,2082.0,1800.1,,,,1005.2,1223.6
,2439.3,1784.8,,2087.4,1821.6,,,,1014.8,1227.9
,2584.9,1787.0,,2103.6,1877.9,,,,1027.2,1229.7
,2586.1,1818.1,,2113.6,1883.0,,,,1033.5,1295.9
,2624.0,1823.7,,2123.3,1912.5,,,,1035.2,1337.5
,2636.7,1834.5,,2143.4,1936.5,,,,1038.5,1399.1
,2639.3,1878.7,,2155.3,1974.4,,,,1056.0,1658.0
,2650.5,1879.9,,2534.4,1997.5,,,,1059.9,1703.1
,2668.5,1886.6,,2613.2,2012.6,,,,1065.8,1708.4
,2671.9,1911.1,,2886.4,2037.8,,,,1069.8,1715.1
,2673.9,1922.0,,,2043.1,,,,1074.5,1717.8
,2674.6,1979.4,,,2056.2,,,,1253.2,1744.0
,2684.4,2042.4,,,2073.6,,,,1355.7,1965.4
,2694.7,2062.5,,,2083.4,,,,1383.7,2004.4
,2711.5,2313.4,,,2115.1,,,,1545.2,2007.6
,2713.5,2455.3,,,2138.2,,,,1699.9,2045.7
,2718.7,2585.0,,,2151.5,,,,1726.6,2050.7
,2721.5,2603.4,,,2161.6,,,,1732.7,2068.5
,2738.5,2606.7,,,2222.3,,,,1749.1,2076.5
,2739.9,2660.2,,,2564.9,,,,1758.8,2079.4
,2741.1,2661.8,,,2666.8,,,,1764.7,2081.7
,2743.3,,,,2695.6,,,,1841.9,2098.9
,2747.1,,,,2709.7,,,,1890.7,2104.2
,2780.3,,,,2743.2,,,,1904.2,2133.9
,2786.6,,,,2743.8,,,,1907.0,2304.4
,2900.7,,,,2747.0,,,,1942.0,2320.1
,2902.2,,,,2777.5,,,,1944.4,2494.9
,3058.1,,,,2862.8,,,,2002.0,2539.9
,3074.3,,,,2905.7,,,,2012.1,2659.0
,3164.2,,,,2988.0,,,,2047.6,2665.3
,,,,,3028.5,,,,2087.3,2753.4
,,,,,3218.3,,,,2088.0,
,,,,,3400.5,,,,2095.8,
,,,,,,,,,2162.4,
,,,,,,,,,2171.1,
,,,,,,,,,2437.7,
,,,,,,,,,2443.3,
,,,,,,,,,2464.6,
,,,,,,,,,2484.2,
,,,,,,,,,2525.8,
,,,,,,,,,2603.7,
,,,,,,,,,2665.4,
,,,,,,,,,2687.9,
,,,,,,,,,3066.4,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
